file,sequence_id,frame_index,scene_name,num_objects_total,num_visible_objects,num_points,tags,description
C01_F00_left_complex_start.ply,C01,0,left_complex_start,3,3,20782,complex;left;baseline;difficulty_2,"Complex left-cluster loading: every historical coil moves; NEW may have large gap, yaw and imperfect target; rolling/partial observations are combined."
C01_F01_far_gap_new_yaw.ply,C01,1,far_gap_new_yaw,4,4,28709,complex;new;far_gap;yaw;all_move;difficulty_3,All old coils move; NEW is intentionally not touching its neighbor and has +7deg yaw; robot target is offset.
C01_F02_new_plus_partial_all_move.ply,C01,2,new_plus_partial_all_move,5,5,34248,complex;new;partial;all_move;roll;difficulty_3,Second NEW while every old coil moves; one historical coil is side-occluded after rolling observation change.
C01_F03_third_new_large_gap.ply,C01,3,third_new_large_gap,6,6,40643,complex;new;far_gap;yaw;partial;all_move;difficulty_4,Third NEW has +8deg yaw and a large internal gap; old coils undergo non-rigid settling and one-sided occlusion.
C01_F04_settling_rebound.ply,C01,4,settling_rebound,6,6,43497,complex;settling;all_move;xy_motion;difficulty_3,No NEW; the whole cluster settles/rebounds with non-uniform X/Y/Z changes and rolling observation mismatch.
C02_F00_right_complex_start.ply,C02,0,right_complex_start,3,3,20782,complex;right;baseline;difficulty_2,"Complex right-cluster loading: mirrored edge growth with large NEW gaps, negative yaw, all-history motion and partial visibility."
C02_F01_right_far_gap_new.ply,C02,1,right_far_gap_new,4,4,27607,complex;right;new;far_gap;yaw;all_move;difficulty_3,Right cluster grows inward; NEW is separated by a large gap and has -7deg yaw while all history moves.
C02_F02_right_new_partial.ply,C02,2,right_new_partial,5,5,31190,complex;right;new;partial;all_move;difficulty_3,Second inward NEW; old coils move non-uniformly and ID8 is partially hidden on its right side.
C02_F03_right_third_new_yaw.ply,C02,3,right_third_new_yaw,6,6,42549,complex;right;new;far_gap;yaw;all_move;difficulty_4,Third right-cluster NEW has -8deg yaw and abnormal gap; every existing coil shifts again.
C02_F04_right_settling.ply,C02,4,right_settling,6,6,42611,complex;right;settling;all_move;difficulty_3,Right cluster settles with small reverse motion; no NEW.
C03_F00_two_side_complex_start.ply,C03,0,two_side_complex_start,4,4,28390,complex;two_side;baseline;difficulty_2,"Two edge clusters grow alternately; both clusters move, NEW gaps/yaw vary, partial/occluded history appears, and the middle free region stays semantically normal."
C03_F01_left_new_far_gap.ply,C03,1,left_new_far_gap,5,5,35346,complex;two_side;new;far_gap;yaw;all_move;difficulty_3,Left cluster extends while both clusters move inward; NEW has a large gap and +6deg yaw.
C03_F02_right_new_partial_left.ply,C03,2,right_new_partial_left,6,6,36936,complex;two_side;new;partial;yaw;all_move;difficulty_4,"Right cluster extends; all coils move, one left-cluster coil is side-occluded, NEW has -7deg yaw."
C03_F03_two_new_both_sides.ply,C03,3,two_new_both_sides,8,8,55950,complex;two_side;multi_new;yaw;all_move;gaps;difficulty_4,"Two NEW coils are placed simultaneously, one on each cluster; both have yaw and unequal gaps; all history moves."
C03_F04_two_side_with_occluded.ply,C03,4,two_side_with_occluded,8,7,49808,complex;two_side;occluded;all_move;difficulty_4,No birth; both clusters move and historical ID7 becomes fully occluded while its semantic slot remains occupied.
C03_F05_occluded_return_partial.ply,C03,5,occluded_return_partial,8,8,54741,complex;two_side;occlusion_return;middle_free;difficulty_3,"ID7 returns partially; both clusters settle and the large middle region is still a valid free region, not an abnormal gap."
C04_F00_same_geom_start.ply,C04,0,same_geom_start,6,6,45648,adversarial;same_geometry;baseline;difficulty_4,"Adversarial same-geometry sequence: all objects share one prototype, entire cluster shifts by more than half a spacing, then a same-spec NEW appears; nearest-neighbor should fail but order semantics must protect identity."
C04_F01_nearest_neighbor_trap.ply,C04,1,nearest_neighbor_trap,6,6,39693,adversarial;same_geometry;nearest_neighbor_trap;all_move;difficulty_5,Every coil shifts +0.72m (> half spacing) with identical D/L and heavy rolling observation mismatch; pure nearest-neighbor is intentionally misleading.
C04_F02_same_spec_new_after_shift.ply,C04,2,same_spec_new_after_shift,7,7,47004,adversarial;same_geometry;new;all_move;yaw;difficulty_5,A same-spec NEW appears after another large group shift; NEW target is imperfect and geometry cannot distinguish identities.
C04_F03_same_geom_partial_center.ply,C04,3,same_geom_partial_center,7,7,43845,adversarial;same_geometry;partial;all_move;difficulty_5,"Same-spec cluster continues moving; central ID3 becomes heavily side-occluded, creating a high-risk identity-swap case."
C04_F04_same_geom_occluded.ply,C04,4,same_geom_occluded,7,6,44502,adversarial;same_geometry;occluded;difficulty_5,One same-spec historical coil disappears completely while all others remain; semantic bracketing should preserve its ID.
C05_F00_combo_start.ply,C05,0,combo_start,4,4,29037,complex;combo;baseline;difficulty_3,Combined difficult loading: historical occlusion and a far-gap yawed NEW occur in the same frame while every visible old coil moves; then the missing ID returns and loading continues.
C05_F01_new_and_occluded_far_gap.ply,C05,1,new_and_occluded_far_gap,5,4,29555,complex;new;occluded;far_gap;yaw;all_move;difficulty_5,ID1 is fully occluded while a -8deg NEW appears far from ID3; all historical positions move simultaneously.
C05_F02_occluded_returns_partial.ply,C05,2,occluded_returns_partial,5,5,31734,complex;occlusion_return;all_move;roll;difficulty_4,Previously hidden ID1 returns partially while all objects continue non-uniform motion and rolling observation changes.
C05_F03_continued_loading_partial.ply,C05,3,continued_loading_partial,6,6,41934,complex;new;partial;yaw;all_move;difficulty_4,Loading continues with another yawed NEW while ID2 is partially side-occluded and every historical coil moves.
C05_F04_combo_recovered.ply,C05,4,combo_recovered,6,6,43469,complex;recovery;all_move;difficulty_4,All IDs are visible again after settling; identity must remain unchanged across the earlier NEW+OCCLUDED ambiguity.
C06_F00_full_l1_start.ply,C06,0,full_l1_start,10,10,72187,complex;layer2;full_l1;baseline;difficulty_3,Full first layer with progressive second-layer loading. New upper coils have yaw and target error; first-layer coils move slightly and visibility degrades/recovers without layer changes.
C06_F01_layer2_new_yaw.ply,C06,1,layer2_new_yaw,11,11,75576,complex;layer2;new;yaw;lower_partial;all_move;difficulty_4,First L2 NEW has +7deg yaw; all L1 coils shift slightly and one lower coil becomes partially visible.
C06_F02_second_layer2_new.ply,C06,2,second_layer2_new,12,12,82062,complex;layer2;new;yaw;lower_partial;all_move;difficulty_4,Second L2 NEW arrives with -6deg yaw; existing upper/lower coils move and lower ID3 is more strongly obscured.
C06_F03_layer2_new_lower_occluded.ply,C06,3,layer2_new_lower_occluded,14,13,89397,complex;layer2;new;occluded;all_move;difficulty_5,Third upper NEW while lower ID4 becomes fully occluded; layer identity and slot order must be retained.
C06_F04_layer2_motion_lower_return.ply,C06,4,layer2_motion_lower_return,13,13,89264,complex;layer2;occlusion_return;all_move;yaw;difficulty_4,No birth; upper coils move/yaw and lower ID4 returns partially.
C06_F05_fourth_layer2_new.ply,C06,5,fourth_layer2_new,14,14,100056,complex;layer2;new;yaw;all_move;difficulty_4,Fourth L2 NEW has -7deg yaw; lower and upper histories continue small non-rigid motion.
C07_F00_multi_new_start.ply,C07,0,multi_new_start,4,4,28390,complex;multi_new;two_side;baseline;difficulty_3,"Multi-birth two-side loading: two NEW coils may arrive simultaneously, both with yaw/large gaps, while all old coils move and later one history becomes occluded."
C07_F01_two_new_far_gaps_yaw.ply,C07,1,two_new_far_gaps_yaw,6,6,41170,complex;multi_new;far_gap;yaw;all_move;difficulty_5,"Two simultaneous NEW coils, both strongly yawed and separated from current cluster boundaries; all old coils move."
C07_F02_second_multi_new.ply,C07,2,second_multi_new,8,8,52945,complex;multi_new;partial;all_move;difficulty_5,Two more simultaneous births while prior NEWs roll/shift and an existing coil becomes one-side partial.
C07_F03_multi_new_then_occlusion.ply,C07,3,multi_new_then_occlusion,8,7,48141,complex;multi_new;occluded;all_move;difficulty_5,No birth; both clusters continue moving and right-cluster ID8 becomes fully occluded.
C07_F04_multi_new_occlusion_return.ply,C07,4,multi_new_occlusion_return,8,8,54018,complex;multi_new;occlusion_return;difficulty_4,Occluded ID8 returns partially; cluster identities must remain stable after simultaneous births.
C08_F00_hint_motion_start.ply,C08,0,hint_motion_start,4,4,29037,complex;robot_hint;large_motion;baseline;difficulty_4,Robot-hint tolerance and large-motion stress: NEW actual positions differ substantially from approximate targets; all histories can shift close to ROI limits with Y/Z drift and yaw.
C08_F01_imperfect_hint_large_move.ply,C08,1,imperfect_hint_large_move,5,5,35736,complex;robot_hint;large_motion;new;far_gap;yaw;difficulty_5,"All old coils move 0.2-0.45m with Y/Z drift; NEW is +8deg yaw, has 0.45m gap, and robot target is ~0.4m offset."
C08_F02_second_imperfect_hint_group_shift.ply,C08,2,second_imperfect_hint_group_shift,6,6,37098,complex;robot_hint;large_motion;new;partial;yaw;difficulty_5,Entire cluster shifts ~0.55-0.65m; second NEW has -7deg yaw and target error in the opposite direction; one old coil is partial.
