sequence_id,frame_index,file,difficulty,tags,description
C01,0,C01_F00_left_complex_start.ply,2,complex;left;baseline,"Complex left-cluster loading: every historical coil moves; NEW may have large gap, yaw and imperfect target; rolling/partial observations are combined."
C01,1,C01_F01_far_gap_new_yaw.ply,3,complex;new;far_gap;yaw;all_move,All old coils move; NEW is intentionally not touching its neighbor and has +7deg yaw; robot target is offset.
C01,2,C01_F02_new_plus_partial_all_move.ply,3,complex;new;partial;all_move;roll,Second NEW while every old coil moves; one historical coil is side-occluded after rolling observation change.
C01,3,C01_F03_third_new_large_gap.ply,4,complex;new;far_gap;yaw;partial;all_move,Third NEW has +8deg yaw and a large internal gap; old coils undergo non-rigid settling and one-sided occlusion.
C01,4,C01_F04_settling_rebound.ply,3,complex;settling;all_move;xy_motion,No NEW; the whole cluster settles/rebounds with non-uniform X/Y/Z changes and rolling observation mismatch.
C02,0,C02_F00_right_complex_start.ply,2,complex;right;baseline,"Complex right-cluster loading: mirrored edge growth with large NEW gaps, negative yaw, all-history motion and partial visibility."
C02,1,C02_F01_right_far_gap_new.ply,3,complex;right;new;far_gap;yaw;all_move,Right cluster grows inward; NEW is separated by a large gap and has -7deg yaw while all history moves.
C02,2,C02_F02_right_new_partial.ply,3,complex;right;new;partial;all_move,Second inward NEW; old coils move non-uniformly and ID8 is partially hidden on its right side.
C02,3,C02_F03_right_third_new_yaw.ply,4,complex;right;new;far_gap;yaw;all_move,Third right-cluster NEW has -8deg yaw and abnormal gap; every existing coil shifts again.
C02,4,C02_F04_right_settling.ply,3,complex;right;settling;all_move,Right cluster settles with small reverse motion; no NEW.
C03,0,C03_F00_two_side_complex_start.ply,2,complex;two_side;baseline,"Two edge clusters grow alternately; both clusters move, NEW gaps/yaw vary, partial/occluded history appears, and the middle free region stays semantically normal."
C03,1,C03_F01_left_new_far_gap.ply,3,complex;two_side;new;far_gap;yaw;all_move,Left cluster extends while both clusters move inward; NEW has a large gap and +6deg yaw.
C03,2,C03_F02_right_new_partial_left.ply,4,complex;two_side;new;partial;yaw;all_move,"Right cluster extends; all coils move, one left-cluster coil is side-occluded, NEW has -7deg yaw."
C03,3,C03_F03_two_new_both_sides.ply,4,complex;two_side;multi_new;yaw;all_move;gaps,"Two NEW coils are placed simultaneously, one on each cluster; both have yaw and unequal gaps; all history moves."
C03,4,C03_F04_two_side_with_occluded.ply,4,complex;two_side;occluded;all_move,No birth; both clusters move and historical ID7 becomes fully occluded while its semantic slot remains occupied.
C03,5,C03_F05_occluded_return_partial.ply,3,complex;two_side;occlusion_return;middle_free,"ID7 returns partially; both clusters settle and the large middle region is still a valid free region, not an abnormal gap."
C04,0,C04_F00_same_geom_start.ply,4,adversarial;same_geometry;baseline,"Adversarial same-geometry sequence: all objects share one prototype, entire cluster shifts by more than half a spacing, then a same-spec NEW appears; nearest-neighbor should fail but order semantics must protect identity."
C04,1,C04_F01_nearest_neighbor_trap.ply,5,adversarial;same_geometry;nearest_neighbor_trap;all_move,Every coil shifts +0.72m (> half spacing) with identical D/L and heavy rolling observation mismatch; pure nearest-neighbor is intentionally misleading.
C04,2,C04_F02_same_spec_new_after_shift.ply,5,adversarial;same_geometry;new;all_move;yaw,A same-spec NEW appears after another large group shift; NEW target is imperfect and geometry cannot distinguish identities.
C04,3,C04_F03_same_geom_partial_center.ply,5,adversarial;same_geometry;partial;all_move,"Same-spec cluster continues moving; central ID3 becomes heavily side-occluded, creating a high-risk identity-swap case."
C04,4,C04_F04_same_geom_occluded.ply,5,adversarial;same_geometry;occluded,One same-spec historical coil disappears completely while all others remain; semantic bracketing should preserve its ID.
C05,0,C05_F00_combo_start.ply,3,complex;combo;baseline,Combined difficult loading: historical occlusion and a far-gap yawed NEW occur in the same frame while every visible old coil moves; then the missing ID returns and loading continues.
C05,1,C05_F01_new_and_occluded_far_gap.ply,5,complex;new;occluded;far_gap;yaw;all_move,ID1 is fully occluded while a -8deg NEW appears far from ID3; all historical positions move simultaneously.
C05,2,C05_F02_occluded_returns_partial.ply,4,complex;occlusion_return;all_move;roll,Previously hidden ID1 returns partially while all objects continue non-uniform motion and rolling observation changes.
C05,3,C05_F03_continued_loading_partial.ply,4,complex;new;partial;yaw;all_move,Loading continues with another yawed NEW while ID2 is partially side-occluded and every historical coil moves.
C05,4,C05_F04_combo_recovered.ply,4,complex;recovery;all_move,All IDs are visible again after settling; identity must remain unchanged across the earlier NEW+OCCLUDED ambiguity.
C06,0,C06_F00_full_l1_start.ply,3,complex;layer2;full_l1;baseline,Full first layer with progressive second-layer loading. New upper coils have yaw and target error; first-layer coils move slightly and visibility degrades/recovers without layer changes.
C06,1,C06_F01_layer2_new_yaw.ply,4,complex;layer2;new;yaw;lower_partial;all_move,First L2 NEW has +7deg yaw; all L1 coils shift slightly and one lower coil becomes partially visible.
C06,2,C06_F02_second_layer2_new.ply,4,complex;layer2;new;yaw;lower_partial;all_move,Second L2 NEW arrives with -6deg yaw; existing upper/lower coils move and lower ID3 is more strongly obscured.
C06,3,C06_F03_layer2_new_lower_occluded.ply,5,complex;layer2;new;occluded;all_move,Third upper NEW while lower ID4 becomes fully occluded; layer identity and slot order must be retained.
C06,4,C06_F04_layer2_motion_lower_return.ply,4,complex;layer2;occlusion_return;all_move;yaw,No birth; upper coils move/yaw and lower ID4 returns partially.
